Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees,Year
"Williamson, Greer and Clark",SaaS,Australia,Seed,304706.0,2016-07-03,386,2016
"Bradford, Green and Miranda",Finance,India,IPO,641212096.0,2025-08-10,474,2025
Kelly LLC,AI,UK,Series A,4149256.0,2024-11-13,220,2024
Riggs-Wells,Health,France,IPO,940259054.0,2018-10-03,14,2018
"Walters, Edwards and Welch",E-commerce,France,Seed,419487.0,2021-12-27,137,2021
"Martinez, Miller and Valdez",AI,UK,Series A,4356688.0,2025-09-15,482,2025
Garcia Inc,Education,USA,Series B,48615111.0,2017-09-10,455,2017
"Castro, Brown and Anderson",Finance,Netherlands,IPO,246306446.0,2019-07-26,357,2019
"Thompson, Orozco and Johnson",Gaming,Germany,Seed,387248.0,2024-06-27,214,2024
"Drake, Nelson and Smith",SaaS,USA,Series C,171659162.0,2020-02-21,360,2020
Page-Brooks,SaaS,Canada,Series B,25021898.0,2016-01-26,311,2016
Perez PLC,SaaS,Canada,Series B,15381185.0,2021-05-22,143,2021
Mcintyre-Gonzalez,SaaS,India,Seed,108337.0,2019-03-05,145,2019
Rice-Krueger,AI,UK,IPO,603891616.0,2024-12-02,263,2024
Adams-Burke,Education,Canada,Series B,32978521.0,2025-07-17,28,2025
Gross-Vazquez,SaaS,France,Seed,321493.0,2023-09-05,120,2023
Deleon-Morrison,Education,Germany,Seed,384290.0,2023-04-21,229,2023
Hunt PLC,Finance,Australia,IPO,445137464.0,2020-03-24,168,2020
"Edwards, Fisher and Johnson",AI,Netherlands,Series A,2678391.0,2019-12-31,255,2019
Santiago Group,Tech,USA,Series A,1993382.0,2017-05-28,96,2017
Schaefer-Walker,Education,Australia,IPO,503448862.0,2018-07-17,177,2018
Schwartz-Hansen,AI,USA,IPO,915449700.0,2021-06-05,113,2021
Velazquez Inc,Health,India,Seed,413097.0,2024-10-06,10,2024
Davis Inc,Health,Germany,IPO,969794492.0,2020-07-28,399,2020
Thornton Group,Gaming,Germany,Series A,2823288.0,2024-02-14,84,2024
"Hicks, Walters and Crawford",Finance,France,Series B,30785233.0,2022-08-09,312,2022
"Fuentes, Bright and Rice",Tech,Germany,IPO,452812896.0,2019-02-08,178,2019
"Harris, Hicks and Martinez",Gaming,Australia,Series C,54326520.0,2017-09-03,373,2017
